app,module_id,sub_app,question_id,source_question_id,level,response_type,max_marks,prompt,correct_answer,answer_choices,accepted_answers,audio_path,audio_exists,question_asset,answer_asset,score_asset,instrument,family,clip_type,difficulty,composer,work,movement,performer,source,rights,notes
Instrument Identifier,instrument-identifier,Instrument recognition,II001,,Securing,multiple-choice,1,Identify the solo instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II001.mp3,yes,,,,VIOLIN,Strings,Orchestral,MEDIUM,Beethoven,Violin Concerto Op 61,,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II002,,Securing,multiple-choice,1,Identify the solo instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II002.mp3,yes,,,,VIOLIN,Strings,Orchestral,MEDIUM,Beethoven,Violin Concerto Op 61,,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II003,,Securing,multiple-choice,1,Identify the solo instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II003.mp3,yes,,,,VIOLIN,Strings,Piano Accomp.,MEDIUM,Beethoven,"Violin Sonata No. 9 ""Kreutzer""",,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II004,,Developing,multiple-choice,1,Identify the solo instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II004.mp3,yes,,,,VIOLIN,Strings,Piano Accomp.,EASY,Beethoven,"Violin Sonata No. 9 ""Kreutzer""",,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II005,,Developing,multiple-choice,1,Identify the solo instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II005.mp3,yes,,,,VIOLIN,Strings,Piano Accomp.,EASY,Beethoven,"Violin Sonata No. 9 ""Kreutzer""",,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II006,,Developing,multiple-choice,1,Identify the solo instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II006.mp3,yes,,,,VIOLIN,Strings,Piano Accomp.,EASY,Beethoven,"Violin Sonata No. 9 ""Kreutzer""",,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II007,,Foundation,multiple-choice,1,Identify the instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II007.mp3,yes,,,,VIOLIN,Strings,Solo,EASY,Bach,Partita No.2 BWV 1004 (5),,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II008,,Foundation,multiple-choice,1,Identify the instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II008.mp3,yes,,,,VIOLIN,Strings,Solo,EASY,Bach,Partita No.2 BWV 1004 (5),,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II009,,Foundation,multiple-choice,1,Identify the instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II009.mp3,yes,,,,VIOLIN,Strings,Solo,EASY,Bach,Partita No.2 BWV 1004 (2),,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II010,,Foundation,multiple-choice,1,Identify the instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II010.mp3,yes,,,,VIOLIN,Strings,Solo,EASY,Bach,Partita No.2 BWV 1004 (2),,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II011,,Developing,multiple-choice,1,Identify the solo instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II011.mp3,yes,,,,VIOLIN,Strings,Piano Accomp.,EASY,Beethoven,Violin Sonata No. 5 (1),,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II012,,Securing,multiple-choice,1,Identify the solo instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II012.mp3,yes,,,,VIOLIN,Strings,Piano Accomp.,MEDIUM,Beethoven,Violin Sonata No. 5 (1),,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II013,,Developing,multiple-choice,1,Identify the solo instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II013.mp3,yes,,,,VIOLIN,Strings,Piano Accomp.,EASY,Mozart,Violin Sonata No.21 K304 (1),,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II014,,Developing,multiple-choice,1,Identify the solo instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II014.mp3,yes,,,,VIOLIN,Strings,Piano Accomp.,EASY,Mozart,Violin Sonata No.21 K304 (1),,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II015,,Securing,multiple-choice,1,Identify the solo instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II015.mp3,yes,,,,VIOLIN,Strings,Orchestral,MEDIUM,Beethoven,Violin Concerto Op 61 (2),,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II016,,Developing,multiple-choice,1,Identify the solo instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II016.mp3,yes,,,,VIOLIN,Strings,Orchestral,EASY,Beethoven,Violin Concerto Op 61 (2),,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II017,,Developing,multiple-choice,1,Identify the solo instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II017.mp3,yes,,,,VIOLIN,Strings,Piano Accomp.,EASY,Beethoven,Violin Sonata No. 5 Spring (1),,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II018,,Developing,multiple-choice,1,Identify the solo instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II018.mp3,yes,,,,VIOLIN,Strings,Piano Accomp.,EASY,Beethoven,Violin Sonata No. 5 Spring (1),,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II019,,Securing,multiple-choice,1,Identify the solo instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II019.mp3,yes,,,,VIOLIN,Strings,Piano Accomp.,MEDIUM,Beethoven,Violin Sonata No. 5 Spring (1),,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II020,,Securing,multiple-choice,1,Identify the solo instrument.,TRUMPET,,TRUMPET,modules/instrument-identifier/audio/II020.mp3,yes,,,,TRUMPET,Brass,Organ Accomp.,MEDIUM,Handel,Violin (Trumpet) Sonata F (2),,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II021,,Securing,multiple-choice,1,Identify the solo instrument.,TRUMPET,,TRUMPET,modules/instrument-identifier/audio/II021.mp3,yes,,,,TRUMPET,Brass,Organ Accomp.,MEDIUM,Handel,Violin (Trumpet) Sonata F (2),,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II022,,Securing,multiple-choice,1,Identify the solo instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II022.mp3,yes,,,,VIOLIN,Strings,Orchestral,MEDIUM,Bach,Double Violin Concerto,,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II023,,Securing,multiple-choice,1,Identify the solo instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II023.mp3,yes,,,,VIOLIN,Strings,Orchestral,MEDIUM,Bach,Double Violin Concerto,,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II024,,Securing,multiple-choice,1,Identify the solo instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II024.mp3,yes,,,,VIOLIN,Strings,Orchestral,MEDIUM,Bach,Double Violin Concerto (3),,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II025,,Securing,multiple-choice,1,Identify the solo instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II025.mp3,yes,,,,VIOLIN,Strings,Piano Accomp.,MEDIUM,Dushkin,Sicilliene,,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II026,,Securing,multiple-choice,1,Identify the solo instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II026.mp3,yes,,,,VIOLIN,Strings,Piano Accomp.,MEDIUM,Dushkin,Sicilliene,,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II027,,Foundation,multiple-choice,1,Identify the instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II027.mp3,yes,,,,VIOLIN,Strings,Solo,EASY,,Sarabande,,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II028,,Foundation,multiple-choice,1,Identify the instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II028.mp3,yes,,,,VIOLIN,Strings,Solo,EASY,,Sarabande,,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II029,,Foundation,multiple-choice,1,Identify the instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II029.mp3,yes,,,,VIOLIN,Strings,Solo,EASY,,Sarabande,,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II030,,Foundation,multiple-choice,1,Identify the instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II030.mp3,yes,,,,VIOLIN,Strings,Solo,EASY,,IV Double Presto,,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II031,,Foundation,multiple-choice,1,Identify the instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II031.mp3,yes,,,,VIOLIN,Strings,Solo,EASY,Bach,Sonata No 1 (4),,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II032,,Foundation,multiple-choice,1,Identify the instrument.,VIOLIN,,VIOLIN,modules/instrument-identifier/audio/II032.mp3,yes,,,,VIOLIN,Strings,Solo,EASY,Bach,Sonata No 1 (4),,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II033,,Mastering,multiple-choice,1,Identify the solo instrument.,VIOLA,,VIOLA,modules/instrument-identifier/audio/II033.mp3,yes,,,,VIOLA,Strings,Orchestral,HARD,Rolla,Viola Sonatas Op. 3 (1),,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II034,,Mastering,multiple-choice,1,Identify the solo instrument.,VIOLA,,VIOLA,modules/instrument-identifier/audio/II034.mp3,yes,,,,VIOLA,Strings,Orchestral,HARD,Rolla,Viola Sonatas Op. 3 (1),,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II035,,Mastering,multiple-choice,1,Identify the solo instrument.,VIOLA,,VIOLA,modules/instrument-identifier/audio/II035.mp3,yes,,,,VIOLA,Strings,Piano Accomp.,HARD,Schumann,Marchenbilder Op. 113,,,MusOpen,PD,
Instrument Identifier,instrument-identifier,Instrument recognition,II036,,Mastering,multiple-choice,1,Identify the solo instrument.,VIOLA,,VIOLA,modules/instrument-identifier/audio/II036.mp3,yes,,,,VIOLA,Strings,Piano Accomp.,HARD,Schumann,Marchenbilder Op. 113,,,MusOpen,PD,
