app,module_id,sub_app,question_id,source_question_id,level,response_type,max_marks,prompt,correct_answer,answer_choices,accepted_answers,audio_path,audio_exists,question_asset,answer_asset,score_asset,instrument,family,clip_type,difficulty,composer,work,movement,performer,source,rights,notes
Melody Master,melody-master,Melodic Dictation,MM001-M,MM001,Mastering,drag-and-drop dictation,6,Complete the 6 missing notes.,G4 | G4 | A4 | B4 | C5 | D5,semiquaver | semiquaver | semiquaver | semiquaver | semiquaver | semiquaver,G4 | G4 | A4 | B4 | C5 | D5,modules/melody-master/questions/MM001/MM001-audio.mp3,yes,modules/melody-master/questions/MM001/MM001-question.png,modules/melody-master/questions/MM001/MM001-answer.png,modules/melody-master/questions/MM001/MM001-question.png,,,dictation,easy,Mozart,"Piano Sonata no. 16 in C major 'Facile', K. 545",I. Allegro,,Musopen,PDM 1.0,"Existing full-question Mastering artwork reused. Missing slots: 1|2|3|4|5|6 Visible reference slots:  Max missing interval: step Students drag each note down from above the stave onto any stave line or space, then check against the answer pitches."
Melody Master,melody-master,Melodic Dictation,MM002-S,MM002,Securing,drag-and-drop dictation,5,Complete the 5 missing notes.,B4 | C5 | B4 | D5 | D5,dotted quaver | semiquaver | quaver | crotchet | quaver,B4 | C5 | B4 | D5 | D5,modules/melody-master/questions/mm002/MM002-audio.mp3,yes,modules/melody-master/questions/mm002/MM002-S-question.png,modules/melody-master/questions/mm002/mm002-answer.png,modules/melody-master/questions/mm002/MM002-S-question.png,,,dictation,easy,Mozart,"Piano Sonata no. 11 in A major, K. 331",I. Andante grazioso,,Musopen,PDM 1.0,"Lead-in interval from slot 1 to slot 2 is included in the Securing interval rule. Missing slots: 2|3|4|5|6 Visible reference slots: 1 Max missing interval: fourth Question 2 uses mixed note values: quaver, dotted quaver, semiquaver, quaver, crotchet, quaver."
Melody Master,melody-master,Melodic Dictation,MM002-M,MM002,Mastering,drag-and-drop dictation,6,Complete the 6 missing notes.,E5 | B4 | C5 | B4 | D5 | D5,quaver | dotted quaver | semiquaver | quaver | crotchet | quaver,E5 | B4 | C5 | B4 | D5 | D5,modules/melody-master/questions/mm002/MM002-audio.mp3,yes,modules/melody-master/questions/mm002/mm002-question.png,modules/melody-master/questions/mm002/mm002-answer.png,modules/melody-master/questions/mm002/mm002-question.png,,,dictation,easy,Mozart,"Piano Sonata no. 11 in A major, K. 331",I. Andante grazioso,,Musopen,PDM 1.0,"Existing full-question Mastering artwork reused. Missing slots: 1|2|3|4|5|6 Visible reference slots:  Max missing interval: fourth Question 2 uses mixed note values: quaver, dotted quaver, semiquaver, quaver, crotchet, quaver."
Melody Master,melody-master,Melodic Dictation,MM003-S,MM003,Securing,drag-and-drop dictation,5,Complete the 5 missing notes.,E5 | D5 | C5 | B4 | G4,quaver | quaver | quaver | quaver | quaver,E5 | D5 | C5 | B4 | G4,modules/melody-master/questions/mm003/MM003-audio.mp3,yes,modules/melody-master/questions/mm003/MM003-S-question.png,modules/melody-master/questions/mm003/mm003-answer.png,modules/melody-master/questions/mm003/MM003-S-question.png,,,dictation,medium,Mozart,"Piano Sonata no. 11 in A major, K. 331",I. Andante grazioso,,Musopen,PDM 1.0,"Lead-in interval from slot 1 to slot 2 is included in the Securing interval rule. Missing slots: 2|3|4|5|6 Visible reference slots: 1 Max missing interval: third Question 3 uses six missing quavers. X positions are taken from the visual centre of each missing notehead in the answer PNG. Corrected pitch sequence: C5, E5, D5, C5, B4, G4."
Melody Master,melody-master,Melodic Dictation,MM003-M,MM003,Mastering,drag-and-drop dictation,6,Complete the 6 missing notes.,C5 | E5 | D5 | C5 | B4 | G4,quaver | quaver | quaver | quaver | quaver | quaver,C5 | E5 | D5 | C5 | B4 | G4,modules/melody-master/questions/mm003/MM003-audio.mp3,yes,modules/melody-master/questions/mm003/mm003-question.png,modules/melody-master/questions/mm003/mm003-answer.png,modules/melody-master/questions/mm003/mm003-question.png,,,dictation,medium,Mozart,"Piano Sonata no. 11 in A major, K. 331",I. Andante grazioso,,Musopen,PDM 1.0,"Existing full-question Mastering artwork reused. Missing slots: 1|2|3|4|5|6 Visible reference slots:  Max missing interval: third Question 3 uses six missing quavers. X positions are taken from the visual centre of each missing notehead in the answer PNG. Corrected pitch sequence: C5, E5, D5, C5, B4, G4."
Melody Master,melody-master,Melodic Dictation,MM004-F,MM004,Foundation,drag-and-drop dictation,2,Complete the 2 missing notes.,E5 | E5,quaver | quaver,E5 | E5,modules/melody-master/questions/mm004/MM004-audio.mp3,yes,modules/melody-master/questions/mm004/MM004-F-question.png,modules/melody-master/questions/mm004/mm004-answer.png,modules/melody-master/questions/mm004/MM004-F-question.png,,,dictation,medium,Chopin,"Nocturne in E flat major, Op. 9 no. 2",Extract 4,,Musopen,PDM 1.0,"Lead-in interval from slot 4 to slot 5 is included in the Foundation interval rule. Missing slots: 5|6 Visible reference slots: 1|2|3|4 Max missing interval: repeated note Question 4 uses six missing notes. Visual centres were taken from the answer PNG. Rhythms are quaver, dotted crotchet, dotted crotchet, quaver, quaver, quaver."
Melody Master,melody-master,Melodic Dictation,MM004-S,MM004,Securing,drag-and-drop dictation,5,Complete the 5 missing notes.,F5 | C5 | E5 | E5 | E5,dotted crotchet | dotted crotchet | quaver | quaver | quaver,F5 | C5 | E5 | E5 | E5,modules/melody-master/questions/mm004/MM004-audio.mp3,yes,modules/melody-master/questions/mm004/MM004-S-question.png,modules/melody-master/questions/mm004/mm004-answer.png,modules/melody-master/questions/mm004/MM004-S-question.png,,,dictation,medium,Chopin,"Nocturne in E flat major, Op. 9 no. 2",Extract 4,,Musopen,PDM 1.0,"Lead-in interval from slot 1 to slot 2 is included in the Securing interval rule. Missing slots: 2|3|4|5|6 Visible reference slots: 1 Max missing interval: fourth Question 4 uses six missing notes. Visual centres were taken from the answer PNG. Rhythms are quaver, dotted crotchet, dotted crotchet, quaver, quaver, quaver."
Melody Master,melody-master,Melodic Dictation,MM004-M,MM004,Mastering,drag-and-drop dictation,6,Complete the 6 missing notes.,F5 | F5 | C5 | E5 | E5 | E5,quaver | dotted crotchet | dotted crotchet | quaver | quaver | quaver,F5 | F5 | C5 | E5 | E5 | E5,modules/melody-master/questions/mm004/MM004-audio.mp3,yes,modules/melody-master/questions/mm004/mm004-question.png,modules/melody-master/questions/mm004/mm004-answer.png,modules/melody-master/questions/mm004/mm004-question.png,,,dictation,medium,Chopin,"Nocturne in E flat major, Op. 9 no. 2",Extract 4,,Musopen,PDM 1.0,"Existing full-question Mastering artwork reused. Missing slots: 1|2|3|4|5|6 Visible reference slots:  Max missing interval: fourth Question 4 uses six missing notes. Visual centres were taken from the answer PNG. Rhythms are quaver, dotted crotchet, dotted crotchet, quaver, quaver, quaver."
Melody Master,melody-master,Melodic Dictation,MM005-F,MM005,Foundation,drag-and-drop dictation,2,Complete the 2 missing notes.,G4 | A4,quaver | quaver,G4 | A4,modules/melody-master/questions/mm005/MM005-audio.mp3,yes,modules/melody-master/questions/mm005/MM005-F-question.png,modules/melody-master/questions/mm005/mm005-answer.png,modules/melody-master/questions/mm005/MM005-F-question.png,,,dictation,medium,Schumann,"Kinderszenen / Scenes from Childhood, Op. 15",VII. Träumerei / Dreaming / Reverie,,Musopen,PDM 1.0,"Lead-in interval from slot 4 to slot 5 is included in the Foundation interval rule. Missing slots: 5|6 Visible reference slots: 1|2|3|4 Max missing interval: step Question 5 uses six missing notes. Visual centres were taken from the answer PNG. Pitch sequence provided by user: A4, B4, D5, F4, G4, A4. All six rhythms are quavers."
Melody Master,melody-master,Melodic Dictation,MM005-M,MM005,Mastering,drag-and-drop dictation,5,Complete the 5 missing notes.,A4 | B4 | F4 | G4 | A4,quaver | quaver | quaver | quaver | quaver,A4 | B4 | F4 | G4 | A4,modules/melody-master/questions/mm005/MM005-audio.mp3,yes,modules/melody-master/questions/mm005/MM005-M-question.png,modules/melody-master/questions/mm005/mm005-answer.png,modules/melody-master/questions/mm005/MM005-M-question.png,,,dictation,medium,Schumann,"Kinderszenen / Scenes from Childhood, Op. 15",VII. Träumerei / Dreaming / Reverie,,Musopen,PDM 1.0,"Large sixth retained with slot 3 visible as tonal/visual context. Missing slots: 1|2|4|5|6 Visible reference slots: 3 Max missing interval: fourth Question 5 uses six missing notes. Visual centres were taken from the answer PNG. Pitch sequence provided by user: A4, B4, D5, F4, G4, A4. All six rhythms are quavers."
