clip_id,pack_name,title_work,composer_creator,performer,source,source_url_or_path,licence,attribution_required,attribution_text,commercial_reuse,notes,teaching_tag,local_audio_file,local_score_file,download_status,duration_sec,start_offset_sec
ENS001,Ensemble Spotter 50,String Quartet Op.64 No.5 'Lark' – I,Joseph Haydn,Musopen Collection,Internet Archive,https://archive.org/download/MusopenCollectionAsFlac/Haydn_StringQuartetInDMajorOp.64/JosephHaydn-StringQuartetInDOp.645H363Lark-01-AllegroModerato.mp3,Public Domain,no,Musopen via Internet Archive,yes,,string_quartet,audio/ENS001.mp3,,ok,14,15
ENS002,Ensemble Spotter 50,String Quartet K.465 'Dissonance' – I,W.A. Mozart,Musopen Collection,Internet Archive,https://archive.org/download/MusopenCollectionAsFlac/Mozart_StringQuartetNo.19inCMajorK465/WolfgangAmadeusMozart-StringQuartetNo.19InCK465Dissonance-01-AdagioAllegro.mp3,Public Domain,no,Musopen via Internet Archive,yes,,string_quartet,audio/ENS002.mp3,,ok,14,20
ENS003,Ensemble Spotter 50,String Quartet Op.18 No.6 – I,Ludwig van Beethoven,Musopen Collection,Internet Archive,https://archive.org/download/MusopenCollectionAsFlac/Beethoven_StringQuartetNo.6inBFlatMajorOp.18/LudwigVanBeethoven-StringQuartetNo.6InBFlatMajorOp.18No.6-01-AllegroConBrio.mp3,Public Domain,no,Musopen via Internet Archive,yes,,string_quartet,audio/ENS003.mp3,,ok,14,15
ENS004,Ensemble Spotter 50,String Quartet No.2 – III Nocturne,Alexander Borodin,Musopen Collection,Internet Archive,https://archive.org/download/MusopenCollectionAsFlac/Borodin_StringQuartetNo.2inDMajor/AlexanderBorodin-StringQuartetNo.2InDMajor-03-NocturneAndante.mp3,Public Domain,no,Musopen via Internet Archive,yes,,string_quartet,audio/ENS004.mp3,,ok,14,10
ENS005,Ensemble Spotter 50,String Quartet Op.96 'American' – I,Antonín Dvořák,Musopen Collection,Internet Archive,https://archive.org/download/MusopenCollectionAsFlac/Dvorak_StringQuartetNo.12inFMajorOp.96/AntonnDvorak-StringQuartetNo.12InFMajorOp.96American-01-AllegroMaNonTroppo.mp3,Public Domain,no,Musopen via Internet Archive,yes,,string_quartet,audio/ENS005.mp3,,ok,14,15
ENS006,Ensemble Spotter 50,String Quartet Op.80 – I,Felix Mendelssohn,Musopen Collection,Internet Archive,https://archive.org/download/MusopenCollectionAsFlac/Mendelssohn_StringQuartetNo.6inFMinorOp.80/FelixMendelssohn-StringQuartetNo.6InFMinorOp.80-01-AllegroVivaceAssai.mp3,Public Domain,no,Musopen via Internet Archive,yes,,string_quartet,audio/ENS006.mp3,,ok,14,12
ENS007,Ensemble Spotter 50,Symphony No.40 K.550 – I,W.A. Mozart,Musopen Collection,Internet Archive,https://archive.org/download/MusopenCollectionAsFlac/Mozart_SymphonyNo.40inGMinor/WolfgangAmadeusMozart-SymphonyNo.40InGMinorK.550-01-MoltoAllegro.mp3,Public Domain,no,Musopen via Internet Archive,yes,,orchestra,audio/ENS007.mp3,,ok,14,10
ENS008,Ensemble Spotter 50,Symphony No.3 Op.90 – III,Johannes Brahms,Musopen Collection,Internet Archive,https://archive.org/download/MusopenCollectionAsFlac/Brahms_SymphonyNo.3inFMajor/JohannesBrahms-SymphonyNo.3InFMajorOp.90-03-PocoAllegretto.mp3,Public Domain,no,Musopen via Internet Archive,yes,,orchestra,audio/ENS008.mp3,,ok,14,15
ENS009,Ensemble Spotter 50,Symphony No.4 'Italian' – I,Felix Mendelssohn,Musopen Collection,Internet Archive,https://archive.org/download/MusopenCollectionAsFlac/Mendelssohn_ItalianSymphony/FelixMendelssohn-SymphonyNo.4InAMajorOp.90italian-01-AllegroVivace.mp3,Public Domain,no,Musopen via Internet Archive,yes,,orchestra,audio/ENS009.mp3,,ok,14,12
ENS010,Ensemble Spotter 50,Má vlast – Vltava,Bedřich Smetana,Musopen Collection,Internet Archive,https://archive.org/download/MusopenCollectionAsFlac/Smetana_Vltava/BedichSmetana-MVlast-Vltava.mp3,Public Domain,no,Musopen via Internet Archive,yes,,orchestra,audio/ENS010.mp3,,ok,14,20
