MTR ID,Composer,Work,Movement / Section,Time Signature,Audio Source Page,Direct Audio URL,Licence Type,Commercial Use OK?,Score Link,Score Rights,Audio Evidence Screenshot File,Score Evidence Screenshot File,Evidence Status,Release Readiness
MTR001,L. van Beethoven,"Symphony No. 3 in E-flat major, Op. 55 ‘Eroica’",I. Allegro con brio,3/4,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Beethoven_SymphonyNo.3Eroica/LudwigVanBeethoven-SymphonyNo.3InEFlatMajorEroicaOp.55-01-AllegroConBrio.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/Symphony_No.3%2C_Op.55_%28Beethoven%2C_Ludwig_van%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr001_audio_rights.png,mtr001_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
MTR002,L. van Beethoven,"Symphony No. 3 in E-flat major, Op. 55 ‘Eroica’",II. Marcia funebre,2/4,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Beethoven_SymphonyNo.3Eroica/LudwigVanBeethoven-SymphonyNo.3InEFlatMajorEroicaOp.55-02-MarciaFunebreAdagioAssai.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/Symphony_No.3%2C_Op.55_%28Beethoven%2C_Ludwig_van%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr002_audio_rights.png,mtr002_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
MTR003,L. van Beethoven,"Symphony No. 3 in E-flat major, Op. 55 ‘Eroica’",III. Scherzo,3/4,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Beethoven_SymphonyNo.3Eroica/LudwigVanBeethoven-SymphonyNo.3InEFlatMajorEroicaOp.55-03-ScherzoAllegroVivace.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/Symphony_No.3%2C_Op.55_%28Beethoven%2C_Ludwig_van%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr003_audio_rights.png,mtr003_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
MTR004,L. van Beethoven,"Symphony No. 3 in E-flat major, Op. 55 ‘Eroica’",IV. Finale,2/4,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Beethoven_SymphonyNo.3Eroica/LudwigVanBeethoven-SymphonyNo.3InEFlatMajorEroicaOp.55-04-FinaleAllegroMolto.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/Symphony_No.3%2C_Op.55_%28Beethoven%2C_Ludwig_van%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr004_audio_rights.png,mtr004_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
MTR005,Johannes Brahms,"Symphony No. 4 in E minor, Op. 98",I. Allegro non troppo,2/2,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Brahms_SymphonyNo.4inEMinor/JohannesBrahms-SymphonyNo.4InEMinorOp.98-01-AllegroNonTroppo.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/Symphony_No.4%2C_Op.98_%28Brahms%2C_Johannes%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr005_audio_rights.png,mtr005_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
MTR006,Johannes Brahms,"Symphony No. 4 in E minor, Op. 98",II. Andante moderato,6/8,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Brahms_SymphonyNo.4inEMinor/JohannesBrahms-SymphonyNo.4InEMinorOp.98-02-AndanteModerato.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/Symphony_No.4%2C_Op.98_%28Brahms%2C_Johannes%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr006_audio_rights.png,mtr006_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
MTR007,Johannes Brahms,"Symphony No. 4 in E minor, Op. 98",III. Allegro giocoso,2/4,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Brahms_SymphonyNo.4inEMinor/JohannesBrahms-SymphonyNo.4InEMinorOp.98-03-AllegroGiocoso.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/Symphony_No.4%2C_Op.98_%28Brahms%2C_Johannes%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr007_audio_rights.png,mtr007_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
MTR008,Johannes Brahms,"Symphony No. 4 in E minor, Op. 98",IV. Allegro energico e passionato,3/4,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Brahms_SymphonyNo.4inEMinor/JohannesBrahms-SymphonyNo.4InEMinorOp.98-04-AllegroEnergicoEPassionato.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/Symphony_No.4%2C_Op.98_%28Brahms%2C_Johannes%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr008_audio_rights.png,mtr008_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
MTR009,Antonín Dvořák,"String Quartet No. 12 in F major, Op. 96 ‘American’",I. Allegro ma non troppo,4/4,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Dvorak_StringQuartetNo.12inFMajorOp.96/AntonnDvorak-StringQuartetNo.12InFMajorOp.96American-01-AllegroMaNonTroppo.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/String_Quartet_No.12%2C_Op.96_%28Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr009_audio_rights.png,mtr009_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
MTR010,Antonín Dvořák,"String Quartet No. 12 in F major, Op. 96 ‘American’",II. Lento,6/8,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Dvorak_StringQuartetNo.12inFMajorOp.96/AntonnDvorak-StringQuartetNo.12InFMajorOp.96American-02-Lento.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/String_Quartet_No.12%2C_Op.96_%28Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr010_audio_rights.png,mtr010_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
MTR011,Antonín Dvořák,"String Quartet No. 12 in F major, Op. 96 ‘American’",III. Molto vivace,3/4,https://archive.org/details/MusopenCollectionAsFlac,https://archive.org/download/MusopenCollectionAsFlac/Dvorak_StringQuartetNo.12inFMajorOp.96/AntonnDvorak-StringQuartetNo.12InFMajorOp.96American-03-MoltoVivace.mp3,Public Domain Mark 1.0 / Musopen public-domain recording collection,Yes,https://imslp.org/wiki/String_Quartet_No.12%2C_Op.96_%28Dvo%C5%99%C3%A1k%2C_Anton%C3%ADn%29,"Use a public-domain manuscript, first edition or historic full score shown as Public Domain on IMSLP. Do not substitute a modern copyrighted edition.",mtr011_audio_rights.png,mtr011_score_rights.png,Audio collection and score page verified; exact screenshots still to capture,Commercial OK after audio and score evidence screenshots are captured and checked
