clip_id,title_work,composer_creator,performer,source_collection,source_url,licence,evidence_status,local_audio_file,clip_start_seconds,duration_seconds,notes
TT001,"J. S. Bach — Partita in A minor for solo flute, BWV 1013",,Scott Goff,MusOpen,,PD,Needs full verification/source URL before commercial release,../instrument-identifier/audio/II201.mp3,0,10,Shares audio with modules/instrument-identifier (see that module's clips.js rights entry for this clip).
TT007,"J. S. Bach — Cello Suite No. 1 in G major, BWV 1007: Prelude",,John Michel,Wikimedia Commons / source credited on file page,https://commons.wikimedia.org/wiki/File:JOHN_MICHEL_CELLO-J_S_BACH_CELLO_SUITE_1_in_G_Prelude.ogg,CC BY-SA 3.0 (verify on source page before release),,audio/TT007.mp3,0,22,One unaccompanied cello line; register changes do not create separate simultaneous parts.
TT008,"J. S. Bach — Partita in A minor for solo flute, BWV 1013",,Scott Goff,Wikimedia Commons / Musopen-linked free recording,https://commons.wikimedia.org/wiki/File:Jsbach_BWV_1013.ogg,CC BY-SA 2.0,,audio/TT008.mp3,0,22,Solo flute performs one melodic line without accompaniment.
TT009,"L. van Beethoven — Piano Sonata No. 14 ‘Moonlight’, movement I",,Paul Pitman,Musopen,"https://commons.wikimedia.org/wiki/File:Ludwig_van_Beethoven_-_sonata_no._14_in_c_sharp_minor_'moonlight',_op._27_no._2_-_i._adagio_sostenuto.ogg",Public-domain mark on Commons/Musopen source page; re-check before release,,audio/TT009.mp3,0,24,A prominent upper melody is supported by repeated accompaniment and bass notes.
TT010,"F. Chopin — Prelude in C minor, Op. 28 No. 20",,Ivan Ilić,Musopen / Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Chopin_-_Preludes,_Op._28_-_No._20_'Funeral_march'.ogg",CC BY 3.0,,audio/TT010.mp3,0,24,The parts move together in a mainly chordal rhythm.
TT011,"J. S. Bach — Fugue in D major, BWV 850",,See source page,Wikimedia Commons free-media collection,https://commons.wikimedia.org/wiki/File:Fugue_DMajor_BWV850.ogg,Check the current licence statement on the source page,,audio/TT011.mp3,0,23,Independent lines overlap and imitate the fugue subject.
TT012,"J. S. Bach — Brandenburg Concerto No. 5, movement III",,See source page,Musopen / Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Bach_-_Brandenburg_Concerto_5_-_3._Allegro.ogg,Check the current licence statement on the source page,,audio/TT012.mp3,0,25,Several independent instrumental lines overlap in imitation.
TT013,"J. S. Bach — Fugue in D major, BWV 850",,See source page,Wikimedia Commons free-media collection,https://commons.wikimedia.org/wiki/File:Fugue_DMajor_BWV850.ogg,Check the current licence statement on the source page,,audio/TT013.mp3,0,30,"The subject begins alone, followed by successive entries in other voices."
TT014,"J. S. Bach — Brandenburg Concerto No. 5, movement III",,See source page,Musopen / Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Bach_-_Brandenburg_Concerto_5_-_3._Allegro.ogg,Check the current licence statement on the source page,,audio/TT014.mp3,0,35,A single fugal entry is followed by further subject entries.
TT015,"A. Vivaldi — The Four Seasons: Spring, movement I",,"John Harrison, violin; ensemble listed on source page",Wikimedia Commons free-media collection,https://commons.wikimedia.org/wiki/File:Vivaldi_-_Four_Seasons_1_Spring_mvt_1_Allegro_-_John_Harrison_violin.oga,Free recording with permission recorded on Commons; verify exact terms,,audio/TT015.mp3,0,55,Opening tutti material contrasts with a lighter solo-led passage.
TT016,"L. van Beethoven — Symphony No. 5 in C minor, movement I",,Musopen Symphony Orchestra,Musopen Symphony Orchestra / Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Ludwig_van_Beethoven_-_symphony_no._5_in_c_minor,_op._67_-_i._allegro_con_brio.ogg",Check the current licence statement on the source page,,audio/TT016.mp3,0,35,"The opening motif is coordinated, then orchestral parts thicken the texture."
TT017,"J. S. Bach — Brandenburg Concerto No. 3, movement I",,See source page,Musopen / Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Bach_-_Brandenburg_Concerto_No._3_-_1._Allegro.ogg,Check the current licence statement on the source page,,audio/TT017.mp3,0,38,The opening has coordinated string writing before independent lines become more prominent.
TT018,F. Mendelssohn — The Hebrides Overture (‘Fingal’s Cave’),,Musopen Symphony Orchestra,Musopen,https://commons.wikimedia.org/wiki/File:Mendelssohn_-_Hebrides_Overture_Fingal's_Cave.ogg,CC0 / Public Domain Mark on Commons source page,,audio/TT018.mp3,0,50,Instrumental layers enter and the accompaniment becomes more active.
TT019,"The Well-Tempered Clavier, Book I: Fugue No. 1 in C major, BWV 846",J. S. Bach,Kimiko Ishizaka,Wikimedia Commons / source credited on file page,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_02_Fugue_No._1_in_C_major,_BWV_846.ogg",CC0 1.0,Evidence file: tt019_rights_source.png,audio/TT019.mp3,0,20,Recording performed by Kimiko Ishizaka and released under CC0 1.0 through the Open Well-Tempered Clavier project. Credit is still recommended in EchoAural's source record.
