"New question ID","Original/source question ID","Level","Composer","Work","Movement","Audio source","Licence","Attribution","Audio filename/path","Question artwork filename/path","Answer artwork filename/path","Existing difficulty","Mode","Missing note count","Missing note positions","Missing pitches","Full answer sequence","Timing/playback metadata","Generation notes"
"MM001-M","MM001","Mastering","Mozart","Piano Sonata no. 16 in C major 'Facile', K. 545","I. Allegro","Musopen","PDM 1.0","Fabiomassimo Castelluzzo","questions/MM001/MM001-audio.mp3","questions/MM001/MM001-question.png","questions/MM001/MM001-answer.png","easy","dictation","6","1, 2, 3, 4, 5, 6","G4 G4 A4 B4 C5 D5","G4 G4 A4 B4 C5 D5","{""guidedPlayback"":{""scoreCoverage"":""partial-audio"",""useFullAudioDuration"":false,""visualStartSeconds"":0,""visualEndSeconds"":7,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""Guided Teacher Mode scroll should complete at 7s because the score PNG excerpt ends there.""}}","Existing full-question Mastering artwork reused."
"MM002-S","MM002","Securing","Mozart","Piano Sonata no. 11 in A major, K. 331","I. Andante grazioso","Musopen","PDM 1.0","European Archive","questions/mm002/MM002-audio.mp3","questions/mm002/MM002-S-question.png","questions/mm002/mm002-answer.png","easy","dictation","5","2, 3, 4, 5, 6","B4 C5 B4 D5 D5","E5 B4 C5 B4 D5 D5","{""guidedPlayback"":{""scoreCoverage"":""partial-audio"",""useFullAudioDuration"":false,""visualStartSeconds"":0,""visualEndSeconds"":8,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""Guided Teacher Mode scroll should complete at 8s because the score PNG excerpt ends there.""}}","Lead-in interval from slot 1 to slot 2 is included in the Securing interval rule."
"MM002-M","MM002","Mastering","Mozart","Piano Sonata no. 11 in A major, K. 331","I. Andante grazioso","Musopen","PDM 1.0","European Archive","questions/mm002/MM002-audio.mp3","questions/mm002/mm002-question.png","questions/mm002/mm002-answer.png","easy","dictation","6","1, 2, 3, 4, 5, 6","E5 B4 C5 B4 D5 D5","E5 B4 C5 B4 D5 D5","{""guidedPlayback"":{""scoreCoverage"":""partial-audio"",""useFullAudioDuration"":false,""visualStartSeconds"":0,""visualEndSeconds"":8,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""Guided Teacher Mode scroll should complete at 8s because the score PNG excerpt ends there.""}}","Existing full-question Mastering artwork reused."
"MM003-S","MM003","Securing","Mozart","Piano Sonata no. 11 in A major, K. 331","I. Andante grazioso","Musopen","PDM 1.0","European Archive","questions/mm003/MM003-audio.mp3","questions/mm003/MM003-S-question.png","questions/mm003/mm003-answer.png","medium","dictation","5","2, 3, 4, 5, 6","E5 D5 C5 B4 G4","C5 E5 D5 C5 B4 G4","{""guidedPlayback"":{""scoreCoverage"":""partial-audio"",""useFullAudioDuration"":false,""visualStartSeconds"":0,""visualEndSeconds"":8,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""Guided Teacher Mode scroll should complete at 8s because the score PNG excerpt ends there.""}}","Lead-in interval from slot 1 to slot 2 is included in the Securing interval rule."
"MM003-M","MM003","Mastering","Mozart","Piano Sonata no. 11 in A major, K. 331","I. Andante grazioso","Musopen","PDM 1.0","European Archive","questions/mm003/MM003-audio.mp3","questions/mm003/mm003-question.png","questions/mm003/mm003-answer.png","medium","dictation","6","1, 2, 3, 4, 5, 6","C5 E5 D5 C5 B4 G4","C5 E5 D5 C5 B4 G4","{""guidedPlayback"":{""scoreCoverage"":""partial-audio"",""useFullAudioDuration"":false,""visualStartSeconds"":0,""visualEndSeconds"":8,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""Guided Teacher Mode scroll should complete at 8s because the score PNG excerpt ends there.""}}","Existing full-question Mastering artwork reused."
"MM004-F","MM004","Foundation","Chopin","Nocturne in E flat major, Op. 9 no. 2","Extract 4","Musopen","PDM 1.0","Aya Higuchi","questions/mm004/MM004-audio.mp3","questions/mm004/MM004-F-question.png","questions/mm004/mm004-answer.png","medium","dictation","2","5, 6","E5 E5","F5 F5 C5 E5 E5 E5","{""guidedPlayback"":{""scoreCoverage"":""full-audio"",""useFullAudioDuration"":true,""visualStartSeconds"":0,""visualEndSeconds"":null,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""E = score PNG covers the full audio clip for guided Teacher Mode playback.""}}","Lead-in interval from slot 4 to slot 5 is included in the Foundation interval rule."
"MM004-S","MM004","Securing","Chopin","Nocturne in E flat major, Op. 9 no. 2","Extract 4","Musopen","PDM 1.0","Aya Higuchi","questions/mm004/MM004-audio.mp3","questions/mm004/MM004-S-question.png","questions/mm004/mm004-answer.png","medium","dictation","5","2, 3, 4, 5, 6","F5 C5 E5 E5 E5","F5 F5 C5 E5 E5 E5","{""guidedPlayback"":{""scoreCoverage"":""full-audio"",""useFullAudioDuration"":true,""visualStartSeconds"":0,""visualEndSeconds"":null,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""E = score PNG covers the full audio clip for guided Teacher Mode playback.""}}","Lead-in interval from slot 1 to slot 2 is included in the Securing interval rule."
"MM004-M","MM004","Mastering","Chopin","Nocturne in E flat major, Op. 9 no. 2","Extract 4","Musopen","PDM 1.0","Aya Higuchi","questions/mm004/MM004-audio.mp3","questions/mm004/mm004-question.png","questions/mm004/mm004-answer.png","medium","dictation","6","1, 2, 3, 4, 5, 6","F5 F5 C5 E5 E5 E5","F5 F5 C5 E5 E5 E5","{""guidedPlayback"":{""scoreCoverage"":""full-audio"",""useFullAudioDuration"":true,""visualStartSeconds"":0,""visualEndSeconds"":null,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""E = score PNG covers the full audio clip for guided Teacher Mode playback.""}}","Existing full-question Mastering artwork reused."
"MM005-F","MM005","Foundation","Schumann","Kinderszenen / Scenes from Childhood, Op. 15","VII. Träumerei / Dreaming / Reverie","Musopen","PDM 1.0","Donald Betts","questions/mm005/MM005-audio.mp3","questions/mm005/MM005-F-question.png","questions/mm005/mm005-answer.png","medium","dictation","2","5, 6","G4 A4","A4 B4 D5 F4 G4 A4","{""guidedPlayback"":{""scoreCoverage"":""partial-audio"",""useFullAudioDuration"":false,""visualStartSeconds"":0,""visualEndSeconds"":11,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""Guided Teacher Mode scroll should complete at 11s because the score PNG excerpt ends there.""}}","Lead-in interval from slot 4 to slot 5 is included in the Foundation interval rule."
"MM005-M","MM005","Mastering","Schumann","Kinderszenen / Scenes from Childhood, Op. 15","VII. Träumerei / Dreaming / Reverie","Musopen","PDM 1.0","Donald Betts","questions/mm005/MM005-audio.mp3","questions/mm005/MM005-M-question.png","questions/mm005/mm005-answer.png","medium","dictation","5","1, 2, 4, 5, 6","A4 B4 F4 G4 A4","A4 B4 D5 F4 G4 A4","{""guidedPlayback"":{""scoreCoverage"":""partial-audio"",""useFullAudioDuration"":false,""visualStartSeconds"":0,""visualEndSeconds"":11,""visibleScoreRatio"":0.44,""leadInSeconds"":2,""notes"":""Guided Teacher Mode scroll should complete at 11s because the score PNG excerpt ends there.""}}","Large sixth retained with slot 3 visible as tonal/visual context."
