clip_id,audio_path,composer,work,movement,performer,source,rights,period,genre,ensemble,instrument,family,clip_type,potential_skill_codes,question_count,metadata_confidence
CLIP-0024FF2C50EC,modules/instrument-identifier/audio/II192.mp3,Bach,Flute Sonata BWV 1034,,,MusOpen,PD,Baroque,Sonata,Harpsichord,RECORDER,Woodwind,Harpsichord,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-00851AB26D00,modules/melody-master/audio/melodic-devices/MDA011.mp3,L. van Beethoven,"Symphony No. 3 in E-flat major, Op. 55 ‘Eroica’",III. Scherzo,Musopen Symphony Orchestra,Musopen Collection hosted by Internet Archive,Public Domain Mark 1.0 / Musopen public-domain recording collection,Classical/Romantic transition,Symphony,,,,Melodic device,MEL.DEVICE,1,high
CLIP-00D0E3017BA2,modules/texture-trainer/audio/TT023.mp3,,"J. S. Bach — The Well-Tempered Clavier, Book I: Fugue No. 6 in D minor, BWV 851",,Kimiko Ishizaka,"https://commons.wikimedia.org/wiki/File:Kimiko_Ishizaka_-_Bach_-_Well-Tempered_Clavier,_Book_1_-_12_Fugue_No._6_in_D_minor,_BWV_851.ogg",CC0 1.0,,Fugue,,,,Polyphonic texture,TEX.TYPE,1,high
CLIP-01042F72A584,modules/instrument-identifier/audio/II125.mp3,Bottesini,Double Bass Concerto No. 2 (3),,,MusOpen,PD,,Concerto,Orchestral,DOUBLE BASS,Strings,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,medium
CLIP-016C95D89DFA,modules/instrument-identifier/audio/II191.mp3,Bach,Flute Sonata BWV 1034,,,MusOpen,PD,Baroque,Sonata,Harpsichord,RECORDER,Woodwind,Harpsichord,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-0177F3A9F876,modules/texture-trainer/audio/TT088.mp3,,"Felix Mendelssohn — Symphony No. 4 in A major, Op. 90 ‘Italian’ — III. Con moto moderato",,Musopen Symphony Orchestra,https://archive.org/details/MusopenCollectionAsFlac,Public Domain Mark 1.0 / Musopen public-domain recording collection,,Symphony,,,,Homophonic texture,TEX.ROLE | TEX.TYPE,1,high
CLIP-0184D6A66619,audio/piano/E3.mp3 | audio/piano/Fs3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Major 2nd,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,10,high
CLIP-01AD6540FAF7,modules/instrument-identifier/audio/II027.mp3,,Sarabande,,,MusOpen,PD,,,Solo,VIOLIN,Strings,Solo,INS.FAMILY | INS.INDIVIDUAL,1,medium
CLIP-01CCE7AA4B49,audio/piano/E4.mp3 | audio/piano/Cs4.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Minor 3rd,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,7,high
CLIP-01E5B91D04B4,audio/piano/Ds3.mp3 | audio/piano/D4.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Major 7th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,5,high
CLIP-01F7D108527F,modules/instrument-identifier/audio/II003.mp3,Beethoven,"Violin Sonata No. 9 ""Kreutzer""",,,MusOpen,PD,Classical/Romantic transition,Sonata,Piano Accomp.,VIOLIN,Strings,Piano Accomp.,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-0231AEACBA0D,audio/piano/C3.mp3 | audio/piano/As3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Minor 7th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,10,high
CLIP-024537C97304,modules/instrument-identifier/audio/II279.mp3,,Oboe Concerto HWV 302,,,MusOpen,PD,,Concerto,Orchestral,OBOE,Woodwind,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-02851133C455,modules/instrument-identifier/audio/II152.mp3,von Weber,Clarinet Concerto Op. 73 (2),,,MusOpen,PD,,Concerto,Orchestral,CLARINET,Woodwind,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,medium
CLIP-03096476FA01,modules/instrument-identifier/audio/II119.mp3,,Op. 5 No.2 (2),,,MusOpen,PD,,,Piano Accomp.,CELLO,Strings,Piano Accomp.,INS.FAMILY | INS.INDIVIDUAL,1,medium
CLIP-036829455C2C,audio/piano/Fs3.mp3 | audio/piano/G3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Minor 2nd,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,6,high
CLIP-03745CFBFCF8,modules/texture-trainer/audio/TT049.mp3,,"J. S. Bach — Cello Suite No. 1 in G major, BWV 1007 — I. Prelude",,"John Michel, cello",https://commons.wikimedia.org/wiki/File:JOHN_MICHEL_CELLO-J_S_BACH_CELLO_SUITE_1_in_G_Prelude.ogg,CC BY-SA 3.0,,Suite,,,,Monophonic texture,TEX.TYPE,1,high
CLIP-03D21D811CA5,audio/piano/Gs3.mp3 | audio/piano/Ds4.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Perfect 5th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,6,high
CLIP-045162463AF0,modules/texture-trainer/audio/TT009.mp3,,"L. van Beethoven — Piano Sonata No. 14 ‘Moonlight’, movement I",,Paul Pitman,"https://commons.wikimedia.org/wiki/File:Ludwig_van_Beethoven_-_sonata_no._14_in_c_sharp_minor_'moonlight',_op._27_no._2_-_i._adagio_sostenuto.ogg",Public-domain mark on Commons/Musopen source page; re-check before release,,Sonata,,,,Homophonic,TEX.ROLE | TEX.TYPE,1,high
CLIP-046CE7DC2349,modules/instrument-identifier/audio/II264.mp3,,Chansonette,,,MusOpen,PD,,,Piano Accomp.,OBOE,Woodwind,Piano Accomp.,INS.FAMILY | INS.INDIVIDUAL,1,medium
CLIP-0473915DD375,modules/texture-trainer/audio/TT086.mp3,,"Felix Mendelssohn — Symphony No. 4 in A major, Op. 90 ‘Italian’ — II. Andante con moto",,Musopen Symphony Orchestra,https://archive.org/details/MusopenCollectionAsFlac,Public Domain Mark 1.0 / Musopen public-domain recording collection,,Symphony,,,,Melody and accompaniment,TEX.ROLE | TEX.TYPE,1,high
CLIP-054DB7A90916,audio/piano/C4.mp3 | audio/piano/Ds3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Major 6th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,7,high
CLIP-054DDEEB4B3D,audio/piano/F3.mp3 | audio/piano/D3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Minor 3rd,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,11,high
CLIP-05CA50569C40,audio/piano/C4.mp3 | audio/piano/E3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,descending Minor 6th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,9,high
CLIP-05DDF4C12254,modules/instrument-identifier/audio/II062.mp3,Debussy,Cello Sonata (2) Serenade,,,MusOpen,PD,Twentieth century,Sonata,Piano Accomp.,CELLO,Strings,Piano Accomp.,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-07FD422E937F,modules/instrument-identifier/audio/II130.mp3,Bottesini,Double Bass Concerto No. 2 (1),,,MusOpen,PD,,Concerto,Orchestral,DOUBLE BASS,Strings,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,medium
CLIP-08F79419BBAE,audio/piano/Cs3.mp3 | audio/piano/B3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Minor 7th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,7,high
CLIP-092F26817A73,modules/instrument-identifier/audio/II052.mp3,Elgar,Cello Concerto Op. 85,,,MusOpen,PD,,Concerto,Orchestral,CELLO,Strings,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,medium
CLIP-09909E131C8A,modules/melody-master/questions/mm003/MM003-audio.mp3,Mozart,"Piano Sonata no. 11 in A major, K. 331",I. Andante grazioso,,Musopen,PDM 1.0,Classical,Sonata,,,,dictation,MEL.DICTATION.PITCH,2,high
CLIP-09CEF0C242B2,modules/instrument-identifier/audio/II215.mp3,Kuhlau,3 Fantasies Op. 38 No.1,,,MusOpen,PD,,,Solo,FLUTE,Woodwind,Solo,INS.FAMILY | INS.INDIVIDUAL,1,medium
CLIP-09D034989123,modules/instrument-identifier/audio/II270.mp3,,La Gracieuse (5) Napoltano,,,MusOpen,PD,,,Harpsichord,OBOE,Woodwind,Harpsichord,INS.FAMILY | INS.INDIVIDUAL,1,medium
CLIP-0A2F7B29B712,audio/piano/F3.mp3 | audio/piano/As3.mp3,,,,,Generated from modules/melodic-intervals/interval-data.js,Uses bundled piano samples,,Generated ear-training interval,,Piano,,ascending Perfect 4th,MEL.INTERVAL.NUMBER | MEL.INTERVAL.QUALITY,10,high
CLIP-0AE002FD30B0,modules/instrument-identifier/audio/II252.mp3,,Oboe Concerto F minor,,,MusOpen,PD,,Concerto,Orchestral,OBOE,Woodwind,Orchestral,INS.FAMILY | INS.INDIVIDUAL,1,high
CLIP-0B6C91D57E2C,modules/meter-master/audio/MTR026.mp3,,,,,https://imslp.org/wiki/Symphony_No.40_in_G_minor%2C_K.550_%28Mozart%2C_Wolfgang_Amadeus%29,,,,,,,Full metre explanation,RHY.METRE | RHY.TIME_SIGNATURE,2,high
