question_id,module_id,field_needing_review,current_value,reason
MMX001,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX002,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX003,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX004,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX005,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX006,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX007,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX008,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX009,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX010,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX011,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX012,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX013,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX014,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX015,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX016,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX017,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX018,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX019,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX020,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX021,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX022,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX023,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX024,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX025,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX026,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX027,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX028,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX029,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX030,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX031,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX032,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX033,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX034,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX035,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX036,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX037,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX038,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX039,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX040,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX041,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX042,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX043,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX044,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX045,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX046,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX047,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX048,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX049,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX050,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX051,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX052,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX053,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX054,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX055,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX056,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX057,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX058,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX059,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX060,meter-master,composer/source context,,Could not infer safely from supplied metadata.
MMX061,meter-master,composer/source context,,Could not infer safely from supplied metadata.
TT001,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT007,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT008,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT009,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT010,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT011,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT012,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT013,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT014,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT015,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT016,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT017,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT018,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT019,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT020,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT021,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT022,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT023,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT024,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT025,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT026,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT027,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT028,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT029,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT030,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT032,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT033,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT034,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT035,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT036,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT037,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT041,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT042,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT043,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT044,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT046,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT047,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT048,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT049,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT050,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT051,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT052,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT053,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT054,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT055,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT056,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT057,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT058,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT059,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT061,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT062,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT063,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT064,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT065,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT066,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT067,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT068,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT069,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT070,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT071,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT072,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT073,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT075,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT076,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT077,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT078,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT079,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT080,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT081,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT082,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT083,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT084,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT085,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT086,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT087,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT088,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT089,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT090,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT091,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT093,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT095,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT097,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT098,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT099,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT100,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT101,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT105,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT108,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT109,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT111,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT112,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT113,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT114,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT115,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT116,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT117,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT118,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT120,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT121,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT122,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT123,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT124,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT125,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT127,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT128,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT130,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT131,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT132,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT133,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT134,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
TT135,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT136,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT139,texture-trainer,genre; composer/source context,,Could not infer safely from supplied metadata.
TT140,texture-trainer,composer/source context,,Could not infer safely from supplied metadata.
MM005-F,melody-master,genre,,Could not infer safely from supplied metadata.
MM005-M,melody-master,genre,,Could not infer safely from supplied metadata.
MM007-F,melody-master,genre,,Could not infer safely from supplied metadata.
MM007-D,melody-master,genre,,Could not infer safely from supplied metadata.
MM007-S,melody-master,genre,,Could not infer safely from supplied metadata.
MM007-M,melody-master,genre,,Could not infer safely from supplied metadata.
MM012-S,melody-master,genre,,Could not infer safely from supplied metadata.
MM012-M,melody-master,genre,,Could not infer safely from supplied metadata.
MDV005,melody-master,genre,,Could not infer safely from supplied metadata.
MDV017,melody-master,period,,Could not infer safely from supplied metadata.
MDV018,melody-master,period,,Could not infer safely from supplied metadata.
MDV019,melody-master,period,,Could not infer safely from supplied metadata.
MDV020,melody-master,period,,Could not infer safely from supplied metadata.
II007,instrument-identifier,genre,,Could not infer safely from supplied metadata.
II008,instrument-identifier,genre,,Could not infer safely from supplied metadata.
II009,instrument-identifier,genre,,Could not infer safely from supplied metadata.
II010,instrument-identifier,genre,,Could not infer safely from supplied metadata.
II025,instrument-identifier,period; genre,,Could not infer safely from supplied metadata.
II026,instrument-identifier,period; genre,,Could not infer safely from supplied metadata.
II027,instrument-identifier,genre; composer/source context,,Could not infer safely from supplied metadata.
II028,instrument-identifier,genre; composer/source context,,Could not infer safely from supplied metadata.
II029,instrument-identifier,genre; composer/source context,,Could not infer safely from supplied metadata.
II030,instrument-identifier,genre; composer/source context,,Could not infer safely from supplied metadata.
II033,instrument-identifier,period,,Could not infer safely from supplied metadata.
II034,instrument-identifier,period,,Could not infer safely from supplied metadata.
II035,instrument-identifier,genre,,Could not infer safely from supplied metadata.
II036,instrument-identifier,genre,,Could not infer safely from supplied metadata.
II037,instrument-identifier,genre,,Could not infer safely from supplied metadata.
II038,instrument-identifier,genre,,Could not infer safely from supplied metadata.
II043,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II044,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II045,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II046,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II047,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II048,instrument-identifier,period,,Could not infer safely from supplied metadata.
II049,instrument-identifier,period,,Could not infer safely from supplied metadata.
II050,instrument-identifier,period,,Could not infer safely from supplied metadata.
II051,instrument-identifier,period,,Could not infer safely from supplied metadata.
II052,instrument-identifier,period,,Could not infer safely from supplied metadata.
II056,instrument-identifier,period,,Could not infer safely from supplied metadata.
II057,instrument-identifier,period,,Could not infer safely from supplied metadata.
II058,instrument-identifier,period,,Could not infer safely from supplied metadata.
II059,instrument-identifier,period,,Could not infer safely from supplied metadata.
II060,instrument-identifier,period,,Could not infer safely from supplied metadata.
II061,instrument-identifier,period,,Could not infer safely from supplied metadata.
II086,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II087,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II088,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II089,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II118,instrument-identifier,genre; composer/source context,,Could not infer safely from supplied metadata.
II119,instrument-identifier,genre; composer/source context,,Could not infer safely from supplied metadata.
II120,instrument-identifier,genre; composer/source context,,Could not infer safely from supplied metadata.
II121,instrument-identifier,period,,Could not infer safely from supplied metadata.
II122,instrument-identifier,period,,Could not infer safely from supplied metadata.
II123,instrument-identifier,period,,Could not infer safely from supplied metadata.
II124,instrument-identifier,period,,Could not infer safely from supplied metadata.
II125,instrument-identifier,period,,Could not infer safely from supplied metadata.
II126,instrument-identifier,period,,Could not infer safely from supplied metadata.
II127,instrument-identifier,period,,Could not infer safely from supplied metadata.
II128,instrument-identifier,period,,Could not infer safely from supplied metadata.
II129,instrument-identifier,period,,Could not infer safely from supplied metadata.
II130,instrument-identifier,period,,Could not infer safely from supplied metadata.
II131,instrument-identifier,period,,Could not infer safely from supplied metadata.
II144,instrument-identifier,period,,Could not infer safely from supplied metadata.
II145,instrument-identifier,period,,Could not infer safely from supplied metadata.
II150,instrument-identifier,period; genre,,Could not infer safely from supplied metadata.
II151,instrument-identifier,period; genre,,Could not infer safely from supplied metadata.
II152,instrument-identifier,period,,Could not infer safely from supplied metadata.
II153,instrument-identifier,period,,Could not infer safely from supplied metadata.
II154,instrument-identifier,period,,Could not infer safely from supplied metadata.
II155,instrument-identifier,period,,Could not infer safely from supplied metadata.
II156,instrument-identifier,period,,Could not infer safely from supplied metadata.
II157,instrument-identifier,period,,Could not infer safely from supplied metadata.
II158,instrument-identifier,period,,Could not infer safely from supplied metadata.
II159,instrument-identifier,period,,Could not infer safely from supplied metadata.
II160,instrument-identifier,period,,Could not infer safely from supplied metadata.
II161,instrument-identifier,period,,Could not infer safely from supplied metadata.
II162,instrument-identifier,period,,Could not infer safely from supplied metadata.
II163,instrument-identifier,period,,Could not infer safely from supplied metadata.
II164,instrument-identifier,period,,Could not infer safely from supplied metadata.
II165,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II166,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II167,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II168,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II169,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II170,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
II171,instrument-identifier,period,,Could not infer safely from supplied metadata.
II172,instrument-identifier,period,,Could not infer safely from supplied metadata.
II173,instrument-identifier,period,,Could not infer safely from supplied metadata.
II174,instrument-identifier,period,,Could not infer safely from supplied metadata.
II175,instrument-identifier,period,,Could not infer safely from supplied metadata.
II184,instrument-identifier,period; genre,,Could not infer safely from supplied metadata.
II185,instrument-identifier,period; genre,,Could not infer safely from supplied metadata.
II186,instrument-identifier,period; genre,,Could not infer safely from supplied metadata.
II187,instrument-identifier,period; genre,,Could not infer safely from supplied metadata.
II188,instrument-identifier,period; genre,,Could not infer safely from supplied metadata.
II189,instrument-identifier,period; genre,,Could not infer safely from supplied metadata.
II190,instrument-identifier,period; genre,,Could not infer safely from supplied metadata.
II201,instrument-identifier,genre,,Could not infer safely from supplied metadata.
II202,instrument-identifier,genre,,Could not infer safely from supplied metadata.
II203,instrument-identifier,genre,,Could not infer safely from supplied metadata.
II204,instrument-identifier,genre,,Could not infer safely from supplied metadata.
II205,instrument-identifier,genre,,Could not infer safely from supplied metadata.
II206,instrument-identifier,genre,,Could not infer safely from supplied metadata.
II207,instrument-identifier,genre,,Could not infer safely from supplied metadata.
II208,instrument-identifier,genre; composer/source context,,Could not infer safely from supplied metadata.
II209,instrument-identifier,genre; composer/source context,,Could not infer safely from supplied metadata.
II210,instrument-identifier,genre; composer/source context,,Could not infer safely from supplied metadata.
II211,instrument-identifier,genre; composer/source context,,Could not infer safely from supplied metadata.
II212,instrument-identifier,period; genre,,Could not infer safely from supplied metadata.
II213,instrument-identifier,period; genre,,Could not infer safely from supplied metadata.
II214,instrument-identifier,period; genre,,Could not infer safely from supplied metadata.
II215,instrument-identifier,period; genre,,Could not infer safely from supplied metadata.
II216,instrument-identifier,period; genre,,Could not infer safely from supplied metadata.
II217,instrument-identifier,period; genre,,Could not infer safely from supplied metadata.
II218,instrument-identifier,period; genre,,Could not infer safely from supplied metadata.
II219,instrument-identifier,period,,Could not infer safely from supplied metadata.
II220,instrument-identifier,period,,Could not infer safely from supplied metadata.
II221,instrument-identifier,period,,Could not infer safely from supplied metadata.
II222,instrument-identifier,period,,Could not infer safely from supplied metadata.
II228,instrument-identifier,genre; composer/source context,,Could not infer safely from supplied metadata.
II229,instrument-identifier,genre; composer/source context,,Could not infer safely from supplied metadata.
II230,instrument-identifier,genre; composer/source context,,Could not infer safely from supplied metadata.
II231,instrument-identifier,genre; composer/source context,,Could not infer safely from supplied metadata.
II232,instrument-identifier,composer/source context,,Could not infer safely from supplied metadata.
