question_id,clip_id,aos_code,aos_label,source_basis,metadata_confidence,notes
MMX001,MTR001,AoS3,Romantic music,composer/era,medium,
MMX002,MTR002,AoS3,Romantic music,composer/era,medium,
MMX003,MTR003,AoS3,Romantic music,composer/era,medium,
MMX004,MTR004,AoS3,Romantic music,composer/era,medium,
MMX005,MTR005,AoS3,Romantic music,composer/era,high,
MMX006,MTR006,AoS3,Romantic music,composer/era,high,
MMX007,MTR007,AoS3,Romantic music,composer/era,high,
MMX009,MTR009,AoS3,Romantic music,composer/era,high,
MMX011,MTR011,AoS3,Romantic music,composer/era,high,
MMX012,MTR012,AoS3,Romantic music,composer/era,high,
MMX014,MTR014,AoS3,Romantic music,composer/era,high,
MMX015,MTR015,AoS3,Romantic music,composer/era,high,
MMX016,MTR016,AoS3,Romantic music,composer/era,high,
MMX017,MTR017,AoS2,Classical music,composer/era,high,
MMX018,MTR018,AoS2,Classical music,composer/era,high,
MMX021,MTR021,AoS3,Romantic music,composer/era,high,
MMX022,MTR022,AoS3,Romantic music,composer/era,high,
MMX023,MTR023,AoS3,Romantic music,composer/era,high,
MMX024,MTR024,AoS3,Romantic music,composer/era,high,
MMX025,MTR025,AoS2,Classical music,composer/era,high,
MMX026,MTR026,AoS2,Classical music,composer/era,high,
MMX028,MTR028,AoS2,Classical music,composer/era,high,
MMX029,MTR029,AoS3,Romantic music,composer/era,high,
MMX030,MTR030,AoS3,Romantic music,composer/era,high,
MMX031,MTR001,AoS3,Romantic music,composer/era,medium,
MMX032,MTR002,AoS3,Romantic music,composer/era,medium,
MMX033,MTR003,AoS3,Romantic music,composer/era,medium,
MMX034,MTR004,AoS3,Romantic music,composer/era,medium,
MMX035,MTR005,AoS3,Romantic music,composer/era,high,
MMX036,MTR006,AoS3,Romantic music,composer/era,high,
MMX037,MTR007,AoS3,Romantic music,composer/era,high,
MMX039,MTR009,AoS3,Romantic music,composer/era,high,
MMX040,MTR010,AoS3,Romantic music,composer/era,high,
MMX041,MTR011,AoS3,Romantic music,composer/era,high,
MMX042,MTR012,AoS3,Romantic music,composer/era,high,
MMX044,MTR014,AoS3,Romantic music,composer/era,high,
MMX045,MTR015,AoS3,Romantic music,composer/era,high,
MMX049,MTR019,AoS2,Classical music,composer/era,high,
MMX051,MTR021,AoS3,Romantic music,composer/era,high,
MMX052,MTR022,AoS3,Romantic music,composer/era,high,
MMX056,MTR026,AoS2,Classical music,composer/era,high,
MMX057,MTR027,AoS2,Classical music,composer/era,high,
