question_id,clip_id,musical_element,primary_skill_code,primary_skill_name,secondary_skill_codes,learning_stage,difficulty_band,period,genre,ensemble,metadata_confidence,metadata_review_status
EXL001-Q01,CLIP-EXL001,Harmony and tonality,HAR.TONALITY,Tonality and key,NOT.SCORE_READING,identify,Exam application,,,,high,Tagged
EXL001-Q02,CLIP-EXL001,Melody,MEL.ORNAMENT,Ornamentation,NOT.SCORE_READING,identify,Exam application,,,,high,Tagged
EXL001-Q03,CLIP-EXL001,Instrumentation,INS.FAMILY,Instrument family,INS.INDIVIDUAL | MEL.DEVICE,identify,Exam application,,,,high,Tagged
EXL001-Q04,CLIP-EXL001,Notation and exam application,EXM.WRITTEN,Written musical explanation,NOT.SCORE_READING,apply,Exam application,,,,high,Tagged
EXL001-Q05,CLIP-EXL001,Harmony and tonality,HAR.CADENCE,Cadence,HAR.CHORD,identify,Exam application,,,,high,Tagged
EXL001-Q06,CLIP-EXL001,Context and genre,CTX.PERIOD,Historical period,CTX.GENRE,identify,Exam application,,,,high,Tagged
EXL001-Q07,CLIP-EXL001,Context and genre,CTX.PERIOD,Historical period,CTX.GENRE | EXM.WRITTEN,apply,Exam application,,,,high,Tagged
EXL002-Q01,CLIP-EXL002,Harmony and tonality,HAR.TONALITY,Tonality and key,NOT.SCORE_READING,identify,Exam application,,,,high,Tagged
EXL002-Q02,CLIP-EXL002,Instrumentation,INS.FAMILY,Instrument family,INS.INDIVIDUAL | MEL.DEVICE,identify,Exam application,,,,high,Tagged
EXL002-Q03,CLIP-EXL002,Instrumentation,INS.FAMILY,Instrument family,INS.INDIVIDUAL | MEL.DEVICE,identify,Exam application,,,,high,Tagged
EXL002-Q04,CLIP-EXL002,Melody,MEL.DEVICE,Melodic device,EXM.WRITTEN,identify,Exam application,,,,high,Tagged
EXL002-Q05,CLIP-EXL002,Dynamics and articulation,DYN.CHANGE,Dynamic change,,identify,Exam application,,,,high,Tagged
EXL002-Q06,CLIP-EXL002,Harmony and tonality,HAR.CADENCE,Cadence,HAR.CHORD,identify,Exam application,,,,high,Tagged
EXL002-Q07,CLIP-EXL002,Context and genre,CTX.PERIOD,Historical period,CTX.GENRE,identify,Exam application,,,,high,Tagged
EXL002-Q08,CLIP-EXL002,Context and genre,CTX.GENRE,Genre and style,EXM.WRITTEN,apply,Exam application,,,,high,Tagged
EXL003-Q01,CLIP-EXL003,Harmony and tonality,HAR.TONALITY,Tonality and key,NOT.SCORE_READING,identify,Exam application,,,,high,Tagged
EXL003-Q02,CLIP-EXL003,Meter and rhythm,RHY.METRE,Metre classification,EXM.WRITTEN,identify,Exam application,,,,high,Tagged
EXL003-Q03,CLIP-EXL003,Instrumentation,INS.FAMILY,Instrument family,INS.TECHNIQUE | ART.TYPE,identify,Exam application,,,,high,Tagged
EXL003-Q05,CLIP-EXL003,Dynamics and articulation,ART.TYPE,Articulation,,identify,Exam application,,,,high,Tagged
EXL003-Q06,CLIP-EXL003,Instrumentation,INS.FAMILY,Instrument family,MEL.DEVICE,identify,Exam application,,,,high,Tagged
EXL003-Q07,CLIP-EXL003,Meter and rhythm,RHY.TEMPO,Tempo,DYN.CHANGE | EXM.WRITTEN,apply,Exam application,,,,high,Tagged
EXL003-Q08,CLIP-EXL003,Context and genre,CTX.PERIOD,Historical period,CTX.GENRE,identify,Exam application,,,,high,Tagged
EXL003-Q09,CLIP-EXL003,Meter and rhythm,RHY.TEMPO,Tempo,DYN.CHANGE | ART.TYPE | CTX.GENRE | EXM.WRITTEN,apply,Exam application,,,,high,Tagged
EXL004-Q01,CLIP-EXL004,Instrumentation,INS.INDIVIDUAL,Individual instrument,MEL.DEVICE | CTX.GENRE,identify,Exam application,,,,high,Tagged
EXL004-Q02,CLIP-EXL004,Instrumentation,INS.INDIVIDUAL,Individual instrument,CTX.GENRE,identify,Exam application,,,,high,Tagged
EXL004-Q03,CLIP-EXL004,Context and genre,CTX.GENRE,Genre and style,,identify,Exam application,,,,high,Tagged
EXL004-Q04,CLIP-EXL004,Texture,TEX.TYPE,Texture type,RHY.DEVICE | MEL.DEVICE | EXM.WRITTEN,identify,Exam application,,,,high,Tagged
EXL004-Q05,CLIP-EXL004,Melody,MEL.ORNAMENT,Ornamentation,MEL.DEVICE | EXM.WRITTEN,apply,Exam application,,,,high,Tagged
EXL004-Q06,CLIP-EXL004,Instrumentation,INS.INDIVIDUAL,Individual instrument,RHY.DEVICE | STR.FORM | EXM.WRITTEN,apply,Exam application,,,,high,Tagged
EXL004-Q07,CLIP-EXL004,Melody,MEL.ORNAMENT,Ornamentation,CTX.GENRE | EXM.WRITTEN,apply,Exam application,,,,high,Tagged
EXL005-Q01,CLIP-EXL005,Meter and rhythm,RHY.TEMPO,Tempo,,identify,Exam application,,,,high,Tagged
EXL005-Q02,CLIP-EXL005,Meter and rhythm,RHY.METRE,Metre classification,EXM.WRITTEN,identify,Exam application,,,,high,Tagged
EXL005-Q03,CLIP-EXL005,Context and genre,CTX.TECHNOLOGY,Music technology,,identify,Exam application,,,,high,Tagged
EXL005-Q04,CLIP-EXL005,Structure and form,STR.FORM,Form and structure,,identify,Exam application,,,,high,Tagged
EXL005-Q05,CLIP-EXL005,Structure and form,STR.FORM,Form and structure,,identify,Exam application,,,,high,Tagged
EXL005-Q06,CLIP-EXL005,Texture,TEX.TYPE,Texture type,RHY.DEVICE | DYN.CHANGE | EXM.WRITTEN,apply,Exam application,,,,high,Tagged
EXL005-Q07,CLIP-EXL005,Structure and form,STR.FORM,Form and structure,,identify,Exam application,,,,high,Tagged
EXL005-Q08,CLIP-EXL005,Texture,TEX.TYPE,Texture type,RHY.DEVICE | EXM.WRITTEN,apply,Exam application,,,,high,Tagged
EXL006-Q01,CLIP-EXL006,Meter and rhythm,RHY.METRE,Metre classification,,identify,Exam application,,,,high,Tagged
EXL006-Q02,CLIP-EXL006,Meter and rhythm,RHY.DEVICE,Rhythmic device,,identify,Exam application,,,,high,Tagged
EXL006-Q03,CLIP-EXL006,Melody,MEL.ORNAMENT,Ornamentation,,identify,Exam application,,,,high,Tagged
EXL006-Q04,CLIP-EXL006,Instrumentation,INS.INDIVIDUAL,Individual instrument,DYN.CHANGE | EXM.WRITTEN,identify,Exam application,,,,high,Tagged
EXL006-Q05,CLIP-EXL006,Meter and rhythm,RHY.DEVICE,Rhythmic device,,identify,Exam application,,,,high,Tagged
EXL006-Q06,CLIP-EXL006,Harmony and tonality,HAR.TONALITY,Tonality and key,HAR.CADENCE | HAR.CHORD | EXM.WRITTEN,apply,Exam application,,,,high,Tagged
EXL006-Q07,CLIP-EXL006,Context and genre,CTX.GENRE,Genre and style,,identify,Exam application,,,,high,Tagged
EXL006-Q08,CLIP-EXL006,Meter and rhythm,RHY.METRE,Metre classification,HAR.CADENCE | CTX.GENRE | EXM.WRITTEN,apply,Exam application,,,,high,Tagged
EXL007-Q01,CLIP-EXL007,Meter and rhythm,RHY.METRE,Metre classification,,identify,Exam application,,,,high,Tagged
EXL007-Q02,CLIP-EXL007,Instrumentation,INS.INDIVIDUAL,Individual instrument,DYN.CHANGE,identify,Exam application,,,,high,Tagged
EXL007-Q03,CLIP-EXL007,Texture,TEX.TYPE,Texture type,MEL.DEVICE | EXM.WRITTEN,identify,Exam application,,,,high,Tagged
EXL007-Q04,CLIP-EXL007,Instrumentation,INS.INDIVIDUAL,Individual instrument,TEX.TYPE | RHY.METRE | HAR.CHORD | DYN.CHANGE | EXM.WRITTEN,apply,Exam application,,,,high,Tagged
EXL007-Q05,CLIP-EXL007,Notation and exam application,EXM.WRITTEN,Written musical explanation,,apply,Exam application,,,,high,Tagged
EXL007-Q06,CLIP-EXL007,Meter and rhythm,RHY.METRE,Metre classification,RHY.TEMPO | EXM.WRITTEN,apply,Exam application,,,,high,Tagged
EXL007-Q07,CLIP-EXL007,Structure and form,STR.FORM,Form and structure,EXM.WRITTEN,identify,Exam application,,,,high,Tagged
EXL008-Q01,CLIP-EXL008,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.ROLE,identify,Exam application,,,,high,Tagged
EXL008-Q02,CLIP-EXL008,Instrumentation,INS.FAMILY,Instrument family,,identify,Exam application,,,,high,Tagged
EXL008-Q03,CLIP-EXL008,Texture,TEX.TYPE,Texture type,TEX.ROLE,identify,Exam application,,,,high,Tagged
EXL008-Q04,CLIP-EXL008,Dynamics and articulation,DYN.LEVEL,Dynamic level,,identify,Exam application,,,,high,Tagged
EXL008-Q05,CLIP-EXL008,Dynamics and articulation,DYN.LEVEL,Dynamic level,NOT.SCORE_READING,identify,Exam application,,,,high,Tagged
EXL008-Q06,CLIP-EXL008,Dynamics and articulation,ART.TYPE,Articulation,,identify,Exam application,,,,high,Tagged
EXL008-Q07,CLIP-EXL008,Meter and rhythm,RHY.TEMPO,Tempo,,identify,Exam application,,,,high,Tagged
EXL008-Q08,CLIP-EXL008,Meter and rhythm,RHY.TIME_SIGNATURE,Time signature,NOT.SCORE_READING,identify,Exam application,,,,high,Tagged
EXL008-Q09,CLIP-EXL008,Melody,MEL.DIRECTION,Melodic direction,NOT.SCORE_READING,identify,Exam application,,,,high,Tagged
EXL008-Q10,CLIP-EXL008,Meter and rhythm,RHY.DEVICE,Rhythmic device,,identify,Exam application,,,,high,Tagged
EXL008-Q11,CLIP-EXL008,Context and genre,CTX.PERIOD,Historical period,,identify,Exam application,,,,high,Tagged
EXL008-Q12,CLIP-EXL008,Context and genre,CTX.PERIOD,Historical period,,identify,Exam application,,,,high,Tagged
II001,CLIP-A7387AF2101C,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Securing,Classical/Romantic transition,Concerto,Orchestral,high,Tagged
II002,CLIP-1AACF52B8EA4,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Securing,Classical/Romantic transition,Concerto,Orchestral,high,Tagged
II003,CLIP-01F7D108527F,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Securing,Classical/Romantic transition,Sonata,Piano Accomp.,high,Tagged
II004,CLIP-F5D3D6EF57A1,Instrumentation,INS.INDIVIDUAL,Individual instrument,INS.FAMILY,identify,Developing,Classical/Romantic transition,Sonata,Piano Accomp.,high,Tagged
