ID,Family,Instrument,TYPE,DIFFICULTY,COMPOSER,Genre,Year,Key,WORK,Remarks,II Question,II Answer,MM Question,MM Answer,Articulation,Cadence,AUDIO,Sourcse,Rights
II001,Strings,VIOLIN,Orchestral,MEDIUM,Beethoven,Classical,,D Major,Violin Concerto Op 61,,Identify the solo instrument.,VIOLIN,,,,,II001.mp3,MusOpen,PD
II002,Strings,VIOLIN,Orchestral,MEDIUM,Beethoven,Classical,,D Major,Violin Concerto Op 61,,Identify the solo instrument.,VIOLIN,,,,,II002.mp3,MusOpen,PD
II003,Strings,VIOLIN,Piano Accomp.,MEDIUM,Beethoven,Classical,,D Major,"Violin Sonata No. 9 ""Kreutzer""",,Identify the solo instrument.,VIOLIN,,,,,II003.mp3,MusOpen,PD
II004,Strings,VIOLIN,Piano Accomp.,EASY,Beethoven,Classical,,D Major,"Violin Sonata No. 9 ""Kreutzer""",,Identify the solo instrument.,VIOLIN,,,,,II004.mp3,MusOpen,PD
II005,Strings,VIOLIN ,Piano Accomp.,EASY,Beethoven,Classical,,D Major,"Violin Sonata No. 9 ""Kreutzer""",,Identify the solo instrument.,VIOLIN ,,,,,https://drive.google.com/file/d/119BB93aolMCoO3p236BSWlchvExDnXeI/view?usp=sharing,MusOpen,PD
II006,Strings,VIOLIN,Piano Accomp.,EASY,Beethoven,Classical,,D Major,"Violin Sonata No. 9 ""Kreutzer""",,Identify the solo instrument.,VIOLIN,,,,,https://drive.google.com/file/d/1IxI0BKIyGy3qFrnlQ-zPvnTGsL1AWioi/view?usp=sharing,MusOpen,PD
II007,Strings,VIOLIN,Solo,EASY,Bach ,Baroque,,,Partita No.2 BWV 1004 (5),,Identify the instrument.,VIOLIN,,,,,https://drive.google.com/file/d/1nQHDomf78nKFAMR7ORF-Tc6Da8yMyN-F/view?usp=sharing,MusOpen,PD
II008,Strings,VIOLIN,Solo,EASY,Bach ,Baroque,,,Partita No.2 BWV 1004 (5),,Identify the instrument.,VIOLIN,,,,,https://drive.google.com/file/d/1mYB_eEvgswvxMBuvPMAGa4i0sfCr1Ukm/view?usp=sharing,MusOpen,PD
II009,Strings,VIOLIN,Solo,EASY,Bach ,Baroque,,,Partita No.2 BWV 1004 (2),,Identify the instrument.,VIOLIN,,,,,https://drive.google.com/file/d/1Tgq25SpO2TLp8-mR0QRdBEdjxnFAZFCY/view?usp=sharing,MusOpen,PD
II010,Strings,VIOLIN,Solo,EASY,Bach ,Baroque,,,Partita No.2 BWV 1004 (2),,Identify the instrument.,VIOLIN,,,,,https://drive.google.com/file/d/1oLE2Ki4zwD-UAuGlGLQTTipkyWSni5Dj/view?usp=sharing,MusOpen,PD
II011,Strings,VIOLIN,Piano Accomp.,EASY,Beethoven,Classical,,,Violin Sonata No. 5 (1),,Identify the solo instrument.,VIOLIN,,,,,https://drive.google.com/file/d/1KCnQwtWa1s0YRLYFhll4txcU49Lyx8es/view?usp=sharing,MusOpen,PD
II012,Strings,VIOLIN,Piano Accomp.,MEDIUM,Beethoven,Classical,,,Violin Sonata No. 5 (1),,Identify the solo instrument.,VIOLIN,,,,,https://drive.google.com/file/d/1_xc-tdB2PXAejy-3dHPYqYYBD5yTV2oO/view?usp=sharing,MusOpen,PD
II013,Strings,VIOLIN,Piano Accomp.,EASY,Mozart,Classical,,,Violin Sonata No.21 K304 (1),,Identify the solo instrument.,VIOLIN,,,,,https://drive.google.com/file/d/1WRQ54L-snMCqgufCIESRNr5kFGPStpEu/view?usp=sharing,MusOpen,PD
II014,Strings,VIOLIN,Piano Accomp.,EASY,Mozart,Classical,,,Violin Sonata No.21 K304 (1),,Identify the solo instrument.,VIOLIN,,,,,https://drive.google.com/file/d/1kkMXmp3P5Xfh5AK_ROMlnZlau2huNQqM/view?usp=sharing,MusOpen,PD
II015,Strings,VIOLIN,Orchestral,MEDIUM,Beethoven,Classical,,,Violin Concerto Op 61 (2),,Identify the solo instrument.,VIOLIN,,,,,https://drive.google.com/file/d/12-bDc8jkddNiRG4I7l7ZvEmsmaa6Nu4f/view?usp=sharing,MusOpen,PD
II016,Strings,VIOLIN,Orchestral,EASY,Beethoven,Classical,,,Violin Concerto Op 61 (2),,Identify the solo instrument.,VIOLIN,,,,,https://drive.google.com/file/d/1mGLBtWfiDyTkHY678de_G-7tQiV6PdaP/view?usp=sharing,MusOpen,PD
II017,Strings,VIOLIN,Piano Accomp.,EASY,Beethoven,Classical,,,Violin Sonata No. 5 Spring (1),,Identify the solo instrument.,VIOLIN,,,,,https://drive.google.com/file/d/1jX3_Rarv_KXOHWOlBxfcrPCnFYIXarbx/view?usp=sharing,MusOpen,PD
II018,Strings,VIOLIN,Piano Accomp.,EASY,Beethoven,Classical,,,Violin Sonata No. 5 Spring (1),,Identify the solo instrument.,VIOLIN,,,,,https://drive.google.com/file/d/1OneL7LHaQc383gDgowOBMqSyghT9dUiQ/view?usp=sharing,MusOpen,PD
II019,Strings,VIOLIN,Piano Accomp.,MEDIUM,Beethoven,Classical,,,Violin Sonata No. 5 Spring (1),,Identify the solo instrument.,VIOLIN,,,,,https://drive.google.com/file/d/1Lm9TdlIklO7zE-LwWwAWfX6dX4hp_cpg/view?usp=sharing,MusOpen,PD
II020,Brass,TRUMPET,Organ Accomp.,MEDIUM,Handel,Baroque,,F Major,Violin (Trumpet) Sonata F (2),,Identify the solo instrument.,TRUMPET,,,,,https://drive.google.com/file/d/1dsHNuudNpzbkvbwkPGyhMvlWI51GI0i6/view?usp=sharing,MusOpen,PD
II021,Brass,TRUMPET,Organ Accomp.,MEDIUM,Handel,Baroque,,F Major,Violin (Trumpet) Sonata F (2),,Identify the solo instrument.,TRUMPET,,,,,https://drive.google.com/file/d/1LeXdgBwU1TLAvdVHLsg5iPIdyu__PhLx/view?usp=sharing,MusOpen,PD
